dataset,trial,error_type,intensity,features,model,accuracy,f1_macro,f1_weighted
winequality-red.csv,0,NAR,0.2,target,RF,0.646875,0.274943498806758,0.6450229560792123
winequality-red.csv,0,NAR,0.2,alcohol,RF,0.559375,0.23556546519856747,0.6076410446267522
winequality-red.csv,0,NAR,0.2,target,LinearSVM,0.59375,0.23015399900645797,0.5450745156482861
winequality-red.csv,0,NAR,0.2,alcohol,LinearSVM,0.534375,0.17279942279942279,0.501010101010101
winequality-red.csv,0,NAR,0.2,target,KNN,0.41875,0.1702793552457982,0.42251270578787353
winequality-red.csv,0,NAR,0.2,alcohol,KNN,0.33125,0.13712690817953976,0.36675096832991566
winequality-red.csv,0,NAR,0.3,target,RF,0.56875,0.2938604372566637,0.5863181341719077
winequality-red.csv,0,NAR,0.3,alcohol,RF,0.325,0.14464391954890557,0.40964081161479377
winequality-red.csv,0,NAR,0.3,target,LinearSVM,0.571875,0.22090346098153513,0.5226211365443636
winequality-red.csv,0,NAR,0.3,alcohol,LinearSVM,0.25,0.09444760639979764,0.27959274015050906
winequality-red.csv,0,NAR,0.3,target,KNN,0.384375,0.16419835816514544,0.4070399144931465
winequality-red.csv,0,NAR,0.3,alcohol,KNN,0.253125,0.11581007177700253,0.3095613829214726
winequality-red.csv,0,NAR,0.5,target,RF,0.48125,0.23058391495891492,0.5312058753465003
winequality-red.csv,0,NAR,0.5,alcohol,RF,0.10625,0.07712455035971222,0.18398606115107913
winequality-red.csv,0,NAR,0.5,target,LinearSVM,0.5875,0.23673398024302825,0.540163585103593
winequality-red.csv,0,NAR,0.5,alcohol,LinearSVM,0.0,0.0,0.0
winequality-red.csv,0,NAR,0.5,target,KNN,0.315625,0.17821474535760248,0.3667966135778636
winequality-red.csv,0,NAR,0.5,alcohol,KNN,0.084375,0.07783925608973953,0.13309643057147608
winequality-red.csv,1,NNAR,0.1,target,RF,0.65,0.3200906887109995,0.63476837754408
